url_anuncio,titulo,preco_str,preco,descricao,local_bairro,local_cidade_estado_cep,data_publicacao,nome_vendedor,imagem_principal_url
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-jardim-maria-conceicao-boituva-sp-1097064357,"Terreno à venda, Jardim Maria Conceição - Boituva/SP",R$ 155.000,155000.0,Código do anúncio: 1059 .[imoveis em boituva],Parque Residencial Esplanada,"Boituva, SP, 18557656","Terreno à venda, Jardim Maria Conceição - Boituva/SP","Terreno à venda, Jardim Maria Conceição - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/area-a-venda-ax-boituva-sp-1097064393,"Área à venda, AX - Boituva/SP",R$ 40.546.000,40546000.0,Código do anúncio: 4264 .[imoveis em boituva],Boituva,"SP, 18550000","Área à venda, AX - Boituva/SP","Área à venda, AX - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/predio-a-venda-centro-boituva-sp-1097064448,"Prédio à venda, Centro - Boituva/SP",R$ 1.800.000,1800000.0,Código do anúncio: 1902 .[imoveis em boituva],Residencial Primo,"Boituva, SP, 18557430","Prédio à venda, Centro - Boituva/SP","Prédio à venda, Centro - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-green-ville-boituva-sp-1097064651,"Terreno à venda, Green Ville - Boituva/SP",R$ 450.000,450000.0,Código do anúncio: 1183 .[imoveis em boituva],Residencial Green Ville I,"Boituva, SP, 18552452","Terreno à venda, Green Ville - Boituva/SP","Terreno à venda, Green Ville - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-a-venda-1-quarto-terra-de-santa-cruz-i-boituva-sp-1097064792,"Casa à venda, 1 quarto, Terra de Santa Cruz I - Boituva/SP",R$ 190.000,190000.0,Código do anúncio: 2417 .[imoveis em boituva],Terra de Santa Cruz I,"Boituva, SP, 18557058","Casa à venda, 1 quarto, Terra de Santa Cruz I - Boituva/SP","Casa à venda, 1 quarto, Terra de Santa Cruz I - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/chacara-a-venda-5-quartos-4-suites-8-vagas-fazenda-castelo-boituva-sp-1097064944,"Chácara à venda, 5 quartos, 4 suítes, 8 vagas, Fazenda Castelo - Boituva/SP",R$ 4.000.000,4000000.0,Código do anúncio: 3507 .[imoveis em boituva],Fazenda Castelo,"Boituva, SP, 18553022","Chácara à venda, 5 quartos, 4 suítes, 8 vagas, Fazenda Castelo - Boituva/SP","Chácara à venda, 5 quartos, 4 suítes, 8 vagas, Fazenda Castelo - Boituva/SP",
https://ro.olx.com.br/rondonia/terrenos/fazendas-pra-agricultura-e-pecuaria-1325368706,Fazendas pra agricultura e pecuária,,,"Michel bussons corretor de imoveis com mais de 13 anos de experiencia em imoveis rurais, temos fazenda pra agricultura, pecuaria, areas pra credito de carbono apartir de 17 mil hectares, areas pra compensação ambiental, areas pra manejo e tambem diversos imoveis em todo o pais, mais informações Michel Bussons CRECI F 1462, Whats +5 5699... ver número 8",Rua Vítor Brecheret - de 5127/5128 a 5599/5600,"Esperança da Comunidade, Porto Velho, RO, 76825138",Fazendas pra agricultura e pecuária,Fazendas pra agricultura e pecuária,
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-green-ville-boituva-sp-1097062495,"Terreno à venda, Green Ville - Boituva/SP",R$ 450.000,450000.0,Código do anúncio: 1180 .[imoveis em boituva],Residencial Green Ville I,"Boituva, SP, 18552448","Terreno à venda, Green Ville - Boituva/SP","Terreno à venda, Green Ville - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-a-venda-3-quartos-2-suites-centro-boituva-sp-1097064460,"Casa à venda, 3 quartos, 2 suítes, Centro - Boituva/SP",R$ 1.500.000,1500000.0,Código do anúncio: 3355 .[imoveis em boituva],Centro,"Boituva, SP, 18550091","Casa à venda, 3 quartos, 2 suítes, Centro - Boituva/SP","Casa à venda, 3 quartos, 2 suítes, Centro - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-a-venda-2-quartos-jardim-oreana-boituva-sp-1097065012,"Casa à venda, 2 quartos, Jardim Oreana - Boituva/SP",R$ 400.000,400000.0,Código do anúncio: 3395 .[imoveis em boituva],Jardim Oreana,"Boituva, SP, 18550142","Casa à venda, 2 quartos, Jardim Oreana - Boituva/SP","Casa à venda, 2 quartos, Jardim Oreana - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-a-venda-3-quartos-1-suite-5-vagas-aguia-da-castelo-boituva-sp-1097066375,"Casa à venda, 3 quartos, 1 suíte, 5 vagas, Águia da Castelo - Boituva/SP",R$ 450.000,450000.0,Código do anúncio: 3634 .[imoveis em boituva],Águia da Castelo,"Boituva, SP, 18550528","Casa à venda, 3 quartos, 1 suíte, 5 vagas, Águia da Castelo - Boituva/SP","Casa à venda, 3 quartos, 1 suíte, 5 vagas, Águia da Castelo - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casa-a-venda-3-quartos-2-vagas-jardim-das-palmeiras-boituva-sp-1097063724,"Casa à venda, 3 quartos, 2 vagas, Jardim das Palmeiras - Boituva/SP",R$ 450.000,450000.0,Código do anúncio: 3963 .[imoveis em boituva],Jardim das Palmeiras,"Boituva, SP, 18550218","Casa à venda, 3 quartos, 2 vagas, Jardim das Palmeiras - Boituva/SP","Casa à venda, 3 quartos, 2 vagas, Jardim das Palmeiras - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-jardim-maria-conceicao-boituva-sp-1097075011,"Terreno à venda, Jardim Maria Conceição - Boituva/SP",R$ 163.000,163000.0,Código do anúncio: 1057 .[imoveis em boituva],Parque Residencial Esplanada,"Boituva, SP, 18557656","Terreno à venda, Jardim Maria Conceição - Boituva/SP","Terreno à venda, Jardim Maria Conceição - Boituva/SP",
https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-chacara-dos-pinhais-boituva-sp-1383034361,"Terreno à venda, Chácara dos Pinhais - Boituva/SP",R$ 380.000,380000.0,Código do anúncio: 1723 .[imoveis em boituva],Chácara dos Pinhais,"Boituva, SP, 18552640","Terreno à venda, Chácara dos Pinhais - Boituva/SP","Terreno à venda, Chácara dos Pinhais - Boituva/SP",
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-90-m-venda-por-r-800-000-00-ou-aluguel-por-r-3-900-02-1399555730,"Apartamento com 3 dormitórios, 90 m² - venda por R$ 800.000,00 ou aluguel por R$ 3.900,02/",R$ 3.900,3900.0,Código do anúncio: AP5174 BORGES CAMELO IMOVEIS -,Buritis,"Belo Horizonte, MG, 30575140","Apartamento com 3 dormitórios, 90 m² - venda por R$ 800.000,00 ou aluguel por R$ 3.900,02/","Apartamento com 3 dormitórios, 90 m² - venda por R$ 800.000,00 ou aluguel por R$ 3.900,02/",
https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/amarok-extreme-v6-2019-1404689872,Amarok extreme v6 2019,R$ 160.000,160000.0,Aceito trocas em veiculos Não aceito imoveis,Centro,"São Miguel Arcanjo, SP, 18230001",Amarok extreme v6 2019,Amarok extreme v6 2019,
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-em-inga-niteroi-1063739697,Casa em Ingá - Niterói,R$ 1.950.000,1950000.0,Código do anúncio: 245 FJM IMOVEIS VENDE,Ingá,"Niterói, RJ, 24210406",Casa em Ingá - Niterói,Casa em Ingá - Niterói,
